[+] http://api.netflix.com/robots.txt
[x] http://api.netflix.com/wp-content/plugins/akismet/admin.php Forbidden
[x] http://api.netflix.com/wp-admin/user/menu.php Forbidden
[x] http://api.netflix.com/wp-admin/upgrade-functions.php Forbidden
[x] http://api.netflix.com/wp-admin/options-head.php Forbidden
[x] http://api.netflix.com/wp-admin/network/menu.php Forbidden
[x] http://api.netflix.com/wp-admin/menu-header.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/user.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/upgrade.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/update.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/update-core.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/theme-install.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/template.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/plugin.php Forbidden
[x] http://api.netflix.com/wp-admin/menu.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/plugin-install.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/schema.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/nav-menu.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/ms.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/misc.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/menu.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/media.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/file.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/dashboard.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/continents-cities.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-themes-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-theme-install-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-terms-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-posts-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-plugins-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-plugin-install-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-ms-users-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-ms-themes-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-ms-sites-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-media-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-links-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-filesystem-ssh2.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-filesystem-ftpsockets.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-filesystem-ftpext.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-filesystem-direct.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-comments-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-ftp-sockets.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-ftp-pure.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/admin.php Forbidden
[x] http://api.netflix.com/wp-admin/includes/class-wp-users-list-table.php Forbidden
[x] http://api.netflix.com/wp-admin/admin-functions.php Forbidden
[x] http://api.netflix.com/_vti_inf.html Forbidden
[x] http://api.netflix.com/_vti_bin/spdisco.aspx Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=1 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=2 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=3 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=4 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=5 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=6 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=7 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=8 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=9 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=10 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=11 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=12 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=13 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=14 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=15 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=16 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=17 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=18 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=19 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?Force=True&id=20 Forbidden
[x] http://api.netflix.com/_catalogs/wp/Forms/AllItems.aspx Forbidden
[x] http://api.netflix.com/_layouts/viewlsts.aspx Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx?ID=1 Forbidden
[x] http://api.netflix.com/_layouts/userdisp.aspx Forbidden
[x] http://api.netflix.com/_layouts/spcf.aspx Forbidden
[x] http://api.netflix.com/_Layouts/RedirectPage.aspx Forbidden
[x] http://api.netflix.com/_layouts/recyclebin.aspx Forbidden
[x] http://api.netflix.com/_layouts/people.aspx?MembershipGroupId=0 Forbidden
[x] http://api.netflix.com/_layouts/MyInfo.aspx Forbidden
